epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.483,3.89483,5.19649,2.53952,0.05566,0.24288,0.02167,0.0069,2.93107,63.8419,2.2081,0.00023338,0.00023338,0.00023338
2,21.7802,2.485,2.57295,1.63516,0.00876,0.1478,0.00417,0.00159,2.81185,inf,2.49418,0.000477049,0.000477049,0.000477049
3,30.0126,2.29797,2.03492,1.59014,0.00876,0.1478,0.00417,0.00159,4.31719,inf,7.367,0.000714116,0.000714116,0.000714116
4,38.1985,2.30414,1.91454,1.60193,0.00876,0.1478,0.00417,0.00159,nan,nan,nan,0.000944582,0.000944582,0.000944582
5,46.3401,2.31286,1.87215,1.6071,0.00876,0.1478,0.00417,0.00159,nan,nan,nan,0.00116845,0.00116845,0.00116845
6,54.5682,2.25443,1.88713,1.62754,0.00876,0.1478,0.00417,0.00159,nan,nan,nan,0.00138571,0.00138571,0.00138571
7,62.8923,2.25267,1.83144,1.589,0.03817,0.02599,0.00622,0.00132,nan,nan,nan,0.00153497,0.00153497,0.00153497
8,71.6498,2.22338,1.82811,1.58602,0.00331,0.07009,0.00172,0.00038,nan,nan,nan,0.00151297,0.00151297,0.00151297
9,80.2223,2.24407,1.79404,1.58033,0.01456,0.13143,0.00911,0.00311,3.70875,inf,3.4649,0.00149096,0.00149096,0.00149096
10,88.4737,2.13588,1.69715,1.53379,0.00269,0.05835,0.00442,0.00105,nan,nan,nan,0.00146896,0.00146896,0.00146896
11,96.8178,2.12512,1.65304,1.54302,0.21988,0.2901,0.12716,0.03472,2.7912,5.19805,2.24048,0.00144696,0.00144696,0.00144696
12,105.357,2.11433,1.58809,1.50859,0.30018,0.3091,0.19146,0.05899,2.46726,5.55304,2.0126,0.00142495,0.00142495,0.00142495
13,113.88,2.03271,1.56141,1.49597,0.37158,0.34845,0.29286,0.09288,2.27176,5.28392,1.80996,0.00140295,0.00140295,0.00140295
14,122.336,2.0553,1.55306,1.49647,0.37762,0.43153,0.26439,0.08718,2.32446,3.26819,1.79304,0.00138094,0.00138094,0.00138094
15,130.693,2.059,1.51435,1.47329,0.22469,0.32459,0.15603,0.05184,2.48355,12.2152,1.82773,0.00135894,0.00135894,0.00135894
16,138.972,1.99232,1.50078,1.47427,0.32683,0.12206,0.09486,0.02846,3.18051,9.65878,2.69717,0.00133693,0.00133693,0.00133693
17,147.25,2.00563,1.46093,1.44834,0.29041,0.23881,0.15646,0.05141,3.00377,3.58995,2.77151,0.00131493,0.00131493,0.00131493
18,155.534,1.98417,1.45251,1.43832,0.32593,0.41979,0.27519,0.08595,2.61334,2.20901,1.86518,0.00129293,0.00129293,0.00129293
19,163.809,1.92888,1.38178,1.42462,0.49877,0.47282,0.45056,0.17227,2.15837,1.94795,1.64627,0.00127092,0.00127092,0.00127092
20,172.253,1.93475,1.39377,1.39513,0.4315,0.36195,0.3767,0.14604,2.29958,1.84049,1.77706,0.00124892,0.00124892,0.00124892
21,180.579,1.86496,1.36174,1.37863,0.42679,0.4524,0.36786,0.14463,2.24542,2.0398,1.62881,0.00122691,0.00122691,0.00122691
22,188.878,1.87443,1.37919,1.39258,0.41461,0.44415,0.40474,0.15828,2.15236,1.65914,1.59357,0.00120491,0.00120491,0.00120491
23,197.168,1.89621,1.3396,1.40749,0.42613,0.5476,0.46354,0.16576,2.19978,1.75558,1.61286,0.0011829,0.0011829,0.0011829
24,205.513,1.8694,1.36395,1.4015,0.45541,0.55207,0.418,0.15795,2.0922,2.29351,1.61373,0.0011609,0.0011609,0.0011609
25,213.746,1.84734,1.29401,1.37473,0.37167,0.38552,0.2941,0.09825,2.52527,1.92408,1.70345,0.00113889,0.00113889,0.00113889
26,222.119,1.80329,1.25145,1.3447,0.60957,0.55128,0.55637,0.21213,2.07996,1.48598,1.5297,0.00111689,0.00111689,0.00111689
27,230.587,1.86658,1.29966,1.3909,0.43325,0.61257,0.47627,0.1728,2.2523,1.69937,1.59303,0.00109489,0.00109489,0.00109489
28,238.816,1.81978,1.27646,1.3539,0.52248,0.61065,0.56045,0.2059,2.16737,1.61035,1.58355,0.00107288,0.00107288,0.00107288
29,247.079,1.7663,1.2486,1.31286,0.49859,0.62084,0.53868,0.23058,2.06383,1.49118,1.54164,0.00105088,0.00105088,0.00105088
30,255.52,1.7538,1.22612,1.32498,0.46462,0.55964,0.46736,0.18932,2.05516,1.56005,1.51295,0.00102887,0.00102887,0.00102887
31,263.799,1.84674,1.27682,1.35215,0.46146,0.58746,0.5068,0.19333,2.16412,1.64399,1.58845,0.00100687,0.00100687,0.00100687
32,272.093,1.76858,1.24625,1.30979,0.53507,0.53148,0.51998,0.21439,2.02662,1.5582,1.50314,0.000984864,0.000984864,0.000984864
33,280.358,1.8095,1.2283,1.39929,0.54329,0.60857,0.55457,0.22314,2.01599,1.4025,1.46789,0.000962859,0.000962859,0.000962859
34,288.637,1.81127,1.24844,1.32668,0.61374,0.58113,0.57766,0.23271,1.93611,1.45821,1.44363,0.000940855,0.000940855,0.000940855
35,297.053,1.75797,1.21258,1.32024,0.56676,0.59083,0.58674,0.2558,1.98445,1.36389,1.51565,0.00091885,0.00091885,0.00091885
36,305.488,1.75147,1.17508,1.30781,0.65255,0.50783,0.54019,0.20494,2.11752,1.49697,1.56931,0.000896846,0.000896846,0.000896846
37,313.728,1.76188,1.17343,1.27638,0.49224,0.55935,0.48508,0.18396,2.14174,1.49846,1.62494,0.000874842,0.000874842,0.000874842
38,322.003,1.67909,1.14461,1.27735,0.60971,0.66779,0.60036,0.24993,1.94049,1.31261,1.46777,0.000852837,0.000852837,0.000852837
39,330.295,1.70795,1.16379,1.29785,0.57799,0.58961,0.58208,0.2613,1.95286,1.3289,1.47162,0.000830833,0.000830833,0.000830833
40,338.805,1.70961,1.15921,1.28763,0.55917,0.6503,0.5829,0.25131,1.94735,1.35988,1.48375,0.000808828,0.000808828,0.000808828
41,347.045,1.66696,1.11674,1.26657,0.56793,0.59108,0.56834,0.22858,2.12895,1.39252,1.54928,0.000786824,0.000786824,0.000786824
42,355.319,1.6849,1.13957,1.27021,0.63502,0.62069,0.62672,0.26772,1.96846,1.31374,1.50733,0.00076482,0.00076482,0.00076482
43,363.792,1.68285,1.11539,1.24968,0.62778,0.62476,0.60538,0.25034,1.9552,1.38679,1.47541,0.000742815,0.000742815,0.000742815
44,372.104,1.62746,1.09712,1.27149,0.59883,0.63407,0.59784,0.27248,1.92137,1.30656,1.43698,0.000720811,0.000720811,0.000720811
45,380.623,1.62834,1.10421,1.25468,0.6261,0.61046,0.58854,0.24767,1.99124,1.31396,1.43268,0.000698806,0.000698806,0.000698806
46,388.913,1.61563,1.10986,1.2409,0.65149,0.59618,0.61041,0.25382,1.94986,1.33202,1.43433,0.000676802,0.000676802,0.000676802
47,397.304,1.6647,1.1031,1.2641,0.61675,0.7099,0.62368,0.28305,1.84154,1.27106,1.40497,0.000654798,0.000654798,0.000654798
