epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7242,3.53202,4.54837,2.26103,0.01141,0.27115,0.0067,0.00214,3.45433,inf,2.82612,0.00035007,0.00035007,0.00035007
2,39.134,2.09041,1.95913,1.39454,7e-05,0.00301,4e-05,0,nan,nan,nan,0.000709714,0.000709714,0.000709714
3,55.3183,1.98217,1.69855,1.36891,0.00011,0.00602,5e-05,2e-05,nan,nan,nan,0.0010621,0.0010621,0.0010621
4,71.0151,1.98316,1.64509,1.364,0.00011,0.00602,5e-05,2e-05,nan,nan,nan,0.00140722,0.00140722,0.00140722
5,86.8155,1.97701,1.68325,1.38315,0.00011,0.00602,5e-05,2e-05,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,102.752,1.96653,1.61705,1.34993,0.00863,0.05909,0.00461,0.00068,4.24715,50.5784,5.83017,0.00158448,0.00158448,0.00158448
7,118.838,1.86557,1.53554,1.31308,0.16542,0.04069,0.01337,0.00408,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,134.975,1.85104,1.4902,1.2955,0.16326,0.10405,0.03891,0.01696,2.94033,13.4558,2.76773,0.00155148,0.00155148,0.00155148
9,151.101,1.84041,1.44607,1.27298,0.16159,0.12685,0.06536,0.02339,3.25204,5.68559,2.46891,0.00153497,0.00153497,0.00153497
10,167.138,1.76857,1.42697,1.25736,0.35345,0.36031,0.2614,0.08695,2.6045,3.03995,2.30683,0.00151847,0.00151847,0.00151847
11,183.303,1.77653,1.39499,1.25448,0.29527,0.36117,0.22403,0.08459,2.48463,3.34535,1.96625,0.00150197,0.00150197,0.00150197
12,199.1,1.73623,1.36792,1.23377,0.27471,0.34174,0.21167,0.07135,2.46592,2.34666,1.94551,0.00148546,0.00148546,0.00148546
13,214.904,1.70398,1.33051,1.21969,0.26894,0.27793,0.17589,0.0566,2.73534,2.63329,2.18351,0.00146896,0.00146896,0.00146896
14,230.768,1.70427,1.31573,1.21557,0.27709,0.29323,0.19762,0.06526,2.59945,2.58626,1.91648,0.00145246,0.00145246,0.00145246
15,246.722,1.71324,1.3499,1.23112,0.37795,0.43056,0.33956,0.12176,2.33972,2.01659,1.89954,0.00143595,0.00143595,0.00143595
16,262.774,1.67511,1.26552,1.19087,0.33837,0.25685,0.17747,0.05378,2.82364,2.60834,2.15383,0.00141945,0.00141945,0.00141945
17,278.699,1.64075,1.23277,1.17139,0.29766,0.32794,0.23336,0.0952,2.49463,1.92904,1.81382,0.00140295,0.00140295,0.00140295
18,294.471,1.63132,1.22423,1.18327,0.3347,0.29918,0.23462,0.083,2.54039,2.15511,1.77066,0.00138644,0.00138644,0.00138644
19,310.305,1.65647,1.23987,1.19337,0.37788,0.48884,0.37485,0.12981,2.21905,1.84572,1.74023,0.00136994,0.00136994,0.00136994
20,326.32,1.62329,1.22329,1.16736,0.38205,0.40931,0.30624,0.10966,2.33741,1.92861,1.75103,0.00135344,0.00135344,0.00135344
21,342.167,1.61102,1.22629,1.17711,0.43395,0.49387,0.42833,0.14721,2.21779,1.94445,1.62652,0.00133693,0.00133693,0.00133693
22,358.205,1.6349,1.23867,1.17842,0.47454,0.47574,0.37752,0.12464,2.39951,1.74164,2.15193,0.00132043,0.00132043,0.00132043
23,374.039,1.61585,1.21757,1.17048,0.44951,0.39858,0.42017,0.16882,2.17407,1.699,1.57108,0.00130393,0.00130393,0.00130393
